ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
0.872,70.28,24.412,3.581,1000.7,24.72,76.18,0.194,1.415,29.7,0.5,5.06,627.3,2.441,892.32,Orchard,3
0.24,69.36,21.485,2.512,287.3,25.3,52.05,0.25,0.555,17.57,0.71,5.1,909.7,1.271,419.76,Orchard,3
0.174,59.87,19.604,2.268,190.8,22,41.57,0.166,0.4,13.88,0.816,4.73,1053.4,1.05,898.88,Orchard,3
0.338,65.59,20.891,3.116,346.6,23.2,48.31,0.114,0.722,18.93,0.55,5.9,580.6,1.512,310.58,Dryland,1
0.872,68.95,24.314,3.518,976.5,24.82,76.27,0.194,1.426,29.5,0.47,5.16,582.7,2.421,892.32,Dryland,1
0.807,64.06,21.287,3.297,627.5,24.9,68.59,0.218,1.332,26.89,0.74,6.4,663.1,2.195,543.78,Paddy,2
0.818,68.75,24.314,3.602,615.3,26.47,81.32,0.235,1.361,29.8,0.7,5.72,790,2.493,755.04,Dryland,1
0.872,64.36,22.475,3.689,964.6,26.7,72.65,0.218,1.465,30.97,0.681,6.87,732,2.405,537.42,Paddy,2
0.61,52.94,15.686,2.394,433.7,25.24,50.12,0.214,0.702,16.83,0.969,6.01,1187.3,1.895,392.08,Paddy,2
0.578,62.12,18.922,3.318,567,27.09,66.06,0.224,0.972,23.66,0.61,5.1,1140,1.926,420.16,Orchard,3
0.61,56.81,16.961,3.045,549.2,25.44,78.05,0.255,0.842,20.79,0.728,5.32,1141.8,1.72,536.64,Orchard,3
0.567,61.61,18.431,3.392,555.5,25.75,61.48,0.275,0.918,23.66,0.548,5.78,940.9,1.906,338,Orchard,3
0.807,75.99,26.832,3.646,653,27.9,79.73,0.281,1.399,32.14,0.865,6.67,1005.8,2.289,428.24,Dryland,1
