spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rk,54.82,18.1,16.3,3.82,4.55,22.31,27.34,43.13,3.77,3.94,4.57,4.09,1.177242233,,,,,,,,,,
rk,75.32,22.24,21.52,5.35,5.43,35.26,40.29,60.45,5.57,4.88,5.6,5.22,1.086050982,,,,,,,,,,
rk,85.07,26.6,23.72,5.63,5.31,41.81,44.91,65.31,5.97,4.97,6.56,4.79,1.190481858,,,,,,,,,,
rk,72.31,24.69,23.6,5.94,6.82,28.39,40.97,58.28,4.5,4.23,5.79,5.13,1.100952584,,,,,,,,,,
rk,63.75,20.03,19.34,5.03,5.35,30.49,36.07,56.49,4.41,3.99,4.87,3.52,1.088645125,,,,,,,,,,
rk,45.33,16.66,15.53,4.51,4.25,19.73,24.67,38.14,3.76,3.04,3.29,3.66,1.132286869,,,,,,,,,,
rk,55.01,19.11,16.55,4.72,4.53,24,30.5,45.39,3.75,2.55,3.49,3.23,1.230937667,,,,,,,,,,
rpa,47.36,16.68,16.89,3.67,4.5,26.71,29.29,42.45,3.21,3.58,4.09,3.23,1.032870212,,,,,,,,,,
rpa,52.92,16.9,18.46,3.57,2.87,27.01,29.14,44.45,3.45,3.42,3.94,3.88,0.950917763,,,,,,,,,,
rpa,64.88,18.2,19.48,4.77,7.43,31.1,38.16,51.52,4.74,4.21,3.34,5.15,0.972119859,,,,,,,,,,
rpa,57.16,19.01,17.5,4.28,6.2,26.86,32.97,46.83,4.43,3.73,2.42,4.48,1.148351394,,,,,,,,,,
rpa,44.21,15.45,17.09,3.37,3.05,24.08,27.53,38.47,4.38,2.86,3.59,2.99,0.938054335,,,,,,,,,,
rpa,43.28,15.03,16.17,3.27,3.04,21.37,25.71,40.21,3.38,3.7,3.06,2.82,0.966703443,,,,,,,,,,
rpa,58.14,20.04,20.12,5,6.96,32.53,37.17,51.78,4.61,3.58,2.73,5.12,1.042609331,,,,,,,,,,
