rh,colour,timepup,subst,sex,weight,colnum
high,green,34,leaf,female,0.0971,1
high,green,31,leaf,female,0.2084,1
high,green,31,leaf,male,0.1719,1
high,green,31,leaf,female,0.1917,1
high,green,31,leaf,female,0.2284,1
high,green,31,leaf,male,0.203,1
high,green,31,leaf,female,0.2481,1
high,green,25,leaf,female,0.1969,1
high,green,25,leaf,male,0.1901,1
high,green,25,leaf,female,0.1888,1
high,green,25,leaf,female,0.2049,1
high,green,30,leaf,female,0.2542,1
high,green,30,leaf,female,0.237,1
high,green,30,leaf,female,0.1674,1
high,green,30,leaf,female,0.1959,1
high,green,30,leaf,male,0.1653,1
high,green,30,leaf,female,0.2009,1
high,green,30,leaf,female,0.1956,1
high,green,30,leaf,male,0.175,1
high,green,30,leaf,male,0.1829,1
high,green,26,off-leaf,female,0.2425,1
high,green,26,leaf,male,0.2045,1
high,green,26,leaf,male,0.2061,1
high,green,26,leaf,male,0.1657,1
high,green,26,leaf,female,0.2217,1
high,green,29,leaf,female,0.2484,1
high,green,29,leaf,female,0.2658,1
high,green,29,leaf,female,0.1905,1
high,green,34,off-leaf,female,0.1386,1
high,green,29,off-leaf,female,0.1779,1
high,green,29,off-leaf,female,0.2093,1
high,green,34,off-leaf,female,0.1659,1
high,green,26,leaf,female,0.1984,1
high,green,27,leaf,female,0.2278,1
high,green,25,leaf,female,0.2156,1
high,green,25,leaf,male,0.2101,1
high,green,25,leaf,male,0.2173,1
high,green,25,leaf,female,0.2296,1
high,green,25,leaf,male,0.2223,1
high,green,26,off-leaf,female,0.2159,1
high,green,27,leaf,female,0.2484,1
high,green,27,leaf,female,0.2174,1
high,green,23,leaf,female,0.233,1
high,green,23,leaf,female,0.2687,1
high,green,23,off-leaf,male,0.2107,1
high,green,20,leaf,male,0.2222,1
high,green,30,leaf,male,0.1763,1
high,green,29,leaf,female,0.2415,1
high,green,29,leaf,female,0.2161,1
high,green,25,leaf,female,0.2763,1
high,green,24,leaf,female,0.217,1
high,green,23,leaf,male,0.2087,1
high,green,23,leaf,female,0.2514,1
high,green,23,leaf,female,0.2202,1
high,green,23,leaf,female,0.2364,1
high,brown,25,off-leaf,female,0.2294,0
high,green,36,leaf,female,0.1579,1
high,green,29,leaf,male,0.2053,1
high,green,22,leaf,female,0.1379,1
high,green,32,leaf,female,0.1746,1
high,green,22,leaf,female,0.2354,1
high,green,25,leaf,female,0.1333,1
high,green,25,leaf,female,0.2058,1
high,green,25,leaf,female,0.2145,1
high,green,28,off-leaf,female,0.2241,1
high,green,26,leaf,male,0.1814,1
high,green,26,leaf,female,0.22,1
high,green,26,leaf,male,0.2033,1
high,green,34,leaf,male,0.1855,1
