Plant ID,Shelter,Plot,Pot,Species,Amount,Frequency,1st leaf measurement,1st plant height measurement,2nd leaf measurement,2nd plant height measurement,Above-ground biomass,Below-ground biomass,Above- to below-ground ratio,Sp_name,Type
942,10,55,969,Butterflyweed,70,3,26,11,43,28.5,1.4707,3.3835,19.37852723,Asclepias,eudicot
953,10,56,990,Butterflyweed,70,15,14,6,36,17.5,7,2.6208,NA,Asclepias,eudicot
929,10,57,1009,Butterflyweed,70,30,16,14,61,27,0.8629,2.9594,31.2898366,Asclepias,eudicot
925,10,58,1023,Butterflyweed,90,3,36,13,154,36,2.2214,5.8073,16.20599622,Asclepias,eudicot
943,10,59,1043,Butterflyweed,90,15,24,33,NA,34.5,4.1615,4.9518,8.290279947,Asclepias,eudicot
995,10,60,1071,Butterflyweed,90,30,28,17,151,41,1.9874,5.2329,20.6299688,Asclepias,eudicot
64,1,1,15,Canada wild rye,70,3,12,28,13,74,NA,NA,NA,Elymus_can,monocot
91,1,2,36,Canada wild rye,70,15,14,29,15,32,3.256,2.3421,9.828009828,Elymus_can,monocot
51,1,3,46,Canada wild rye,70,30,8,25,14,69,8.7828,2.7361,7.856264517,Elymus_can,monocot
52,1,4,64,Canada wild rye,90,3,12,26,18,59,4.9786,1.6229,11.85072109,Elymus_can,monocot
27,1,5,78,Canada wild rye,90,15,12,18,20,57,5.4798,3.1627,10.40183948,Elymus_can,monocot
38,1,6,94,Canada wild rye,90,30,13,25,8,45,2.7235,15.5993,16.52285662,Elymus_can,monocot
169,2,7,118,Canada wild rye,70,3,15,30,10,49.5,4.4915,2.9973,11.0208171,Elymus_can,monocot
161,2,8,134,Canada wild rye,70,15,15,32,10,38,1.9339,4.7303,19.6494131,Elymus_can,monocot
128,2,9,148,Canada wild rye,70,30,8,32,20,90,12.4626,3.4098,7.221607048,Elymus_can,monocot
177,2,10,173,Canada wild rye,90,3,11,41,11,85,6.1031,4.6973,13.9273484,Elymus_can,monocot
